datetime,P1,P2,P3,P4,P5,P6
2021-10-22 00:00:03,0.02,0.0103,-6.0,348.0,784.0,0.452
2021-10-22 00:01:03,0.02,0.0103,-5.0,348.0,784.0,0.452
2021-10-22 00:02:04,0.02,0.0103,-6.0,348.0,784.0,0.452
2021-10-22 00:03:04,0.02,0.0103,-5.0,348.0,782.0,0.452
2021-10-22 00:04:05,0.02,0.0103,-5.0,347.0,783.0,0.45299999999999996
2021-10-22 00:05:05,0.02,0.0103,-5.0,347.0,783.0,0.45299999999999996
2021-10-22 00:06:06,0.02,0.0103,-5.0,347.0,783.0,0.45299999999999996
2021-10-22 00:07:06,0.02,0.0103,-5.0,346.0,783.0,0.45299999999999996
2021-10-22 00:08:07,0.02,0.0104,-6.0,346.0,783.0,0.45299999999999996
2021-10-22 00:09:08,0.02,0.0104,-6.0,346.0,783.0,0.45299999999999996
2021-10-22 00:10:08,0.02,0.0104,-5.0,345.0,783.0,0.45399999999999996
2021-10-22 00:11:09,0.02,0.0104,-5.0,345.0,783.0,0.45399999999999996
2021-10-22 00:12:09,0.02,0.0104,-5.0,345.0,783.0,0.45399999999999996
2021-10-22 00:13:10,0.02,0.0104,-6.0,344.0,783.0,0.45399999999999996
2021-10-22 00:14:10,0.02,0.0104,-6.0,344.0,783.0,0.45399999999999996
2021-10-22 00:15:11,0.02,0.0104,-5.0,344.0,783.0,0.45399999999999996
2021-10-22 00:16:11,0.02,0.0104,-5.0,343.0,783.0,0.455
2021-10-22 00:17:12,0.02,0.0104,-5.0,343.0,782.0,0.45399999999999996
2021-10-22 00:18:13,0.02,0.0104,-6.0,343.0,784.0,0.455
2021-10-22 00:19:13,0.02,0.0104,-6.0,342.0,783.0,0.456
2021-10-22 00:20:14,0.02,0.0104,-5.0,342.0,783.0,0.456
2021-10-22 00:21:14,0.02,0.0104,-5.0,342.0,783.0,0.456
2021-10-22 00:22:15,0.02,0.0104,-6.0,342.0,782.0,0.456
2021-10-22 00:23:15,0.02,0.0105,-5.0,341.0,784.0,0.456
2021-10-22 00:24:15,0.02,0.0105,-5.0,341.0,783.0,0.456
2021-10-22 00:25:16,0.02,0.0105,-5.0,341.0,784.0,0.457
2021-10-22 00:26:17,0.02,0.0105,-6.0,340.0,783.0,0.457
2021-10-22 00:27:17,0.02,0.0105,-5.0,340.0,784.0,0.457
2021-10-22 00:28:17,0.02,0.0105,-6.0,340.0,783.0,0.457
2021-10-22 00:29:18,0.02,0.0105,-5.0,339.0,782.0,0.457
